user_id,date,last_touch_marketing_channel
1185-6442-RKEH,12/9/17,Email
1204-9496-ARIM,8/19/17,Push
1231-6990-BBJP,11/17/17,Direct Load
1239-2175-BOWT,7/27/17,Email
1249-9015-FTQZ,9/30/17,Organic Search
1262-6436-SDWR,10/26/17,Organic Search
1275-6965-VIWI,7/6/17,Email
1280-9524-BEIH,9/26/17,Direct Load
1286-8019-LHLP,7/13/17,Email
1290-4037-ETCC,8/26/17,Organic Search
1297-0606-USND,9/25/17,Push
1306-0493-XZFG,12/30/17,Organic Search
1310-4918-TDZZ,7/24/17,Email
1311-0941-UFHX,12/5/17,Organic Search
1314-3819-JDPN,12/11/17,Email
1320-8615-UOXW,11/20/17,Push
1325-6103-DIDF,7/18/17,Email
1327-6533-OTQD,11/27/17,Email
1340-9915-ARSW,9/24/17,Organic Search
1341-6717-PXAT,12/4/17,Organic Search
1349-0556-UHYD,10/22/17,Organic Search
1353-1069-ONQX,11/16/17,Organic Search
1371-4175-SNFA,8/12/17,Push
1388-0779-QKII,11/2/17,Organic Search
1390-7811-AZAU,7/26/17,Organic Search
1403-2096-FKVF,9/14/17,Paid Social
1411-6690-XWMP,12/10/17,Email
1416-4314-LMKF,9/7/17,Email
1448-1581-HZJU,11/23/17,Direct Load
1454-2326-BHKH,9/16/17,Email
1456-0433-QRFF,7/5/17,Direct Load
1458-0705-ZYPQ,12/14/17,Organic Search
1462-1016-XLTD,7/6/17,Paid Social
1472-4846-SMSU,9/4/17,Paid Social
1477-5730-RFRJ,12/15/17,Push
1487-4742-TEJS,11/6/17,Organic Search
1514-6980-MMDH,8/17/17,Paid Social
1520-3365-LJVE,11/29/17,Organic Search
1521-6739-BTBM,11/27/17,Direct Load
1524-6631-MOTZ,12/27/17,Organic Search
1526-2121-SZSB,11/4/17,Organic Search
1534-8226-ATHC,10/21/17,Push
1536-8395-GSHS,8/18/17,Push
1537-6738-VMQO,9/26/17,Organic Search
1539-4576-VWPD,11/29/17,Push
1551-7033-PLFE,12/12/17,Organic Search
1554-1985-LSMK,11/17/17,Push
1581-0834-OIBQ,12/9/17,Organic Search
1588-0273-NNQJ,10/6/17,Email
1588-1346-UBHH,9/16/17,Email
1597-2248-UMCT,8/5/17,Organic Search
1608-7574-XBYL,9/9/17,Paid Social
1619-0397-DEHN,8/30/17,Direct Load
1619-1962-MIFF,8/25/17,Organic Search
1619-8886-JQDE,7/6/17,Organic Search
1626-3845-VPEC,10/8/17,Email
1627-6115-JABJ,12/13/17,Direct Load
1649-4666-MYQG,9/23/17,Email
1665-3028-QKZR,12/21/17,Push
1674-8097-BQDZ,10/27/17,Push
1681-0493-WQAU,11/14/17,Push
1683-0637-IVBQ,10/10/17,Email
1683-4842-MDDB,11/12/17,Email
1685-1843-PNYZ,8/13/17,Email
1689-4526-RLMQ,8/12/17,Direct Load
1695-1148-ULHF,7/29/17,Direct Load
1697-1436-CYKS,12/18/17,Email
1699-3012-ETSJ,12/5/17,Push
1702-4133-JWNI,9/1/17,Email
1704-3675-TWCF,11/17/17,Push
1704-9841-GPAQ,12/23/17,Organic Search
1706-8557-OTPU,11/29/17,Email
1709-4490-NISS,8/13/17,Email
1714-4174-ZZKQ,10/22/17,Organic Search
1717-0533-YBLE,9/23/17,Organic Search
1726-2409-ZCYT,9/11/17,Direct Load
1726-7382-DPKV,11/21/17,Email
1729-2477-MXRC,11/21/17,Email
1731-4912-ZNAF,11/12/17,Push
1735-5858-SHIK,12/27/17,Push
1745-0349-NSHZ,11/19/17,Email
1747-8392-BHKR,12/3/17,Paid Social
1764-8677-LWZI,7/15/17,Email
1765-0831-MRXN,11/2/17,Push
1770-6732-GLJF,9/5/17,Push
1771-0271-ZYEE,10/16/17,Email
1808-6054-VSDX,12/24/17,Paid Social
1837-2976-WSTF,12/7/17,Organic Search
1848-1121-WYBL,10/23/17,Direct Load
1849-4802-KDGD,10/28/17,Email
1854-8312-RHCY,8/28/17,Organic Search
1856-0236-GPBM,11/8/17,Organic Search
1856-3509-JQIA,10/16/17,Email
1857-3390-MNZZ,12/2/17,Direct Load
1869-0295-JNRH,11/13/17,Organic Search
1881-3383-QFNH,11/5/17,Paid Social
1884-9070-HDFS,8/3/17,Paid Social
1887-3177-BTKI,9/26/17,Direct Load
1887-7902-FZMX,10/22/17,Push
1889-5547-VGJG,8/19/17,Organic Search
1896-1500-IOXU,11/15/17,Push
1905-8635-NQBN,8/25/17,Push
1922-3542-NWAG,7/16/17,Organic Search
1923-1066-MHKT,11/30/17,Direct Load
1923-5662-ZNIF,7/30/17,Direct Load
1925-6004-XRTL,9/17/17,Email
1928-8143-HTTY,11/29/17,Organic Search
1929-9906-IPGE,9/8/17,Organic Search
1931-9502-FSWX,7/2/17,Email
1938-9661-YUOC,11/6/17,Push
1947-3986-LERL,10/29/17,Organic Search
1948-2730-FFAS,8/5/17,Organic Search
1966-8282-UVTC,7/31/17,Direct Load
1969-7601-YWZE,7/25/17,Organic Search
1973-1617-HKIZ,8/30/17,Email
1979-2982-NAFA,12/20/17,Email
1986-0830-AZVX,12/5/17,Paid Social
2003-5196-GOFX,12/2/17,Push
2005-7925-PIOP,7/12/17,Direct Load
2020-0662-MSUL,12/22/17,Direct Load
2030-7268-KEEA,10/11/17,Push
2056-2890-GUBC,10/9/17,Organic Search
2057-7927-NMSZ,10/26/17,Organic Search
2061-1830-LFTR,12/29/17,Organic Search
2071-5072-CRNP,8/30/17,Organic Search
2072-8317-UKTM,9/17/17,Email
2073-9999-QDQK,8/7/17,Organic Search
2074-8159-ZMPJ,10/5/17,Direct Load
2075-9232-XAOD,10/7/17,Organic Search
2081-0537-GCEJ,12/15/17,Organic Search
2083-7858-VPYC,10/27/17,Direct Load
2087-1254-TWVI,11/27/17,Push
2088-9815-HSRR,10/15/17,Email
2090-2335-MDEN,7/27/17,Email
2099-3819-ZYXR,11/9/17,Organic Search
2103-3317-RCIT,11/26/17,Paid Social
2104-8043-LNMD,9/8/17,Email
2107-1025-NOYZ,10/7/17,Email
2111-8667-QFHZ,9/24/17,Push
2117-5477-WTZF,10/12/17,Organic Search
2122-3722-OAAN,7/5/17,Paid Social
2123-5652-PSPM,9/22/17,Direct Load
2126-8476-DAXJ,7/25/17,Push
2132-9602-KKIL,11/14/17,Email
2142-1938-ZTEV,12/31/17,Organic Search
2154-6948-HFNC,9/24/17,Direct Load
2158-5455-OLOC,8/8/17,Direct Load
2184-2534-QBYD,12/1/17,Organic Search
2184-5646-TMBI,10/11/17,Organic Search
2194-2518-HHXX,9/16/17,Push
2198-2477-KUQH,11/13/17,Paid Social
2203-9307-EXHZ,10/26/17,Email
2204-5410-TSFJ,11/26/17,Email
2206-6415-PQXJ,9/23/17,Organic Search
2209-7491-BWXH,10/1/17,Direct Load
2212-9842-TWLG,11/28/17,Email
2224-9729-KVVZ,8/27/17,Email
2232-9877-MIXQ,12/8/17,Push
2242-2895-EFPZ,11/13/17,Organic Search
2244-0437-KGMS,11/26/17,Push
2244-6769-XNYT,7/5/17,Organic Search
2248-7262-XHYW,12/4/17,Email
2252-4041-MRMF,12/17/17,Email
2261-5835-RLTD,10/5/17,Organic Search
2287-7907-NMVV,10/21/17,Email
2291-4892-GZPU,8/12/17,Direct Load
2294-5268-PSBI,7/30/17,Direct Load
2295-8615-KNQQ,11/4/17,Organic Search
2302-5029-YRXL,10/5/17,Push
2308-0225-RDWF,9/24/17,Organic Search
2319-0923-WBHX,9/14/17,Email
2323-1731-DYMI,12/9/17,Organic Search
2335-2453-AQQZ,9/28/17,Direct Load
2337-8900-LZWG,10/22/17,Email
2340-4126-PFJC,8/7/17,Organic Search
2341-0117-DSCV,8/5/17,Organic Search
2342-1262-BLLJ,10/7/17,Push
2350-2979-JLHY,12/28/17,Direct Load
2356-1096-XBND,12/10/17,Push
2357-1133-IEHU,7/6/17,Organic Search
2361-8906-FYDG,10/27/17,Organic Search
2381-1494-OCXF,7/13/17,Email
2384-8788-HRUA,9/27/17,Organic Search
2385-5483-ICIV,8/26/17,Push
2385-9674-GRBK,7/8/17,Push
2390-8959-OONU,8/8/17,Organic Search
2392-6209-JHYC,8/27/17,Direct Load
2403-4762-BSZF,10/27/17,Email
2412-0592-CXCE,8/18/17,Organic Search
2413-8110-TMOY,10/30/17,Direct Load
2435-3574-NZNA,7/17/17,Direct Load
2448-2365-MMKY,12/15/17,Paid Social
2461-9420-BPIZ,11/22/17,Organic Search
2464-3052-BFII,10/23/17,Organic Search
2468-0190-DSTM,11/24/17,Organic Search
2471-8565-ELFE,12/4/17,Push
2474-5607-FRZA,12/14/17,Email
2481-4546-MXWO,7/21/17,Email
2488-2093-OXCN,8/2/17,Organic Search
2491-2302-IQSK,11/5/17,Paid Social
2499-5577-IKAU,12/20/17,Organic Search
2505-7731-FKSX,12/17/17,Email
2517-0640-RLTG,8/30/17,Organic Search
2518-9217-FOLS,11/18/17,Push
2538-4005-GWHX,12/20/17,Direct Load
2539-8895-AIVR,11/11/17,Push
2564-2340-GIKU,11/8/17,Email
2577-3813-AFJC,9/7/17,Email
2581-8958-ZOBA,7/12/17,Organic Search
2583-3322-HQDW,10/6/17,Email
2586-5538-KVGI,12/2/17,Email
2587-2079-NQKL,8/7/17,Organic Search
2587-8012-CLRA,8/19/17,Organic Search
2590-7873-ZAVS,11/21/17,Organic Search
2591-1862-HLMK,12/29/17,Push
2591-7082-QHKH,11/25/17,Direct Load
2594-9043-CJYP,10/12/17,Email
2596-7494-SQVU,11/23/17,Organic Search
2601-1928-OHGM,11/24/17,Push
2603-8667-JCMA,7/16/17,Organic Search
2613-1693-FWPU,11/15/17,Email
2615-9382-RODE,8/24/17,Organic Search
2622-9874-SYPF,8/28/17,Direct Load
2629-0013-JZTF,8/15/17,Email
2630-6912-NFML,10/23/17,Direct Load
2631-6235-KZYC,11/19/17,Email
2641-6077-IIEH,12/11/17,Organic Search
2643-9321-PGLC,10/11/17,Organic Search
2646-2611-YWVW,11/28/17,Push
2655-5815-QQIC,7/5/17,Email
2656-7640-IAFW,10/13/17,Organic Search
2662-3894-MXLT,8/5/17,Email
2666-3519-KFLM,10/14/17,Email
2675-6088-CKKI,12/12/17,Organic Search
2693-9227-VFZY,10/10/17,Organic Search
2694-2683-CHZD,11/14/17,Organic Search
2694-9446-LADX,12/22/17,Organic Search
2700-8824-LBNO,11/26/17,Organic Search
2714-5078-MSDR,12/9/17,Organic Search
2715-4922-DWWV,10/30/17,Organic Search
2723-3248-CGQO,9/24/17,Push
2733-0375-VFOC,11/2/17,Email
2740-0247-NDVZ,11/25/17,Organic Search
2743-0213-MEQT,10/7/17,Email
2746-6049-TINR,9/23/17,Organic Search
2750-5543-VXPX,9/21/17,Organic Search
2753-8521-CQGY,11/17/17,Email
2754-4385-HNQW,12/21/17,Organic Search
2758-4811-XLGD,10/19/17,Organic Search
2769-5720-GDUL,10/20/17,Organic Search
2773-9843-GIOM,11/19/17,Organic Search
2776-6774-KGZG,12/15/17,Push
2802-0452-QNKQ,11/11/17,Organic Search
2814-1575-NFTQ,10/11/17,Paid Social
2821-1626-OCFM,8/24/17,Paid Social
2822-4338-ONXR,12/11/17,Push
2828-3737-GEBQ,10/22/17,Paid Social
2830-4484-RGMT,10/9/17,Organic Search
2868-5652-WUKD,10/14/17,Direct Load
2871-8692-GGCO,10/9/17,Push
2880-8524-VKSR,9/10/17,Email
2895-2003-XVTV,9/30/17,Email
2899-0163-UGSU,12/3/17,Email
2910-5323-VAZR,9/19/17,Email
2915-8419-HHKB,9/2/17,Direct Load
2916-1434-UUFB,9/1/17,Organic Search
2917-0665-UQTW,8/9/17,Email
2921-0833-ZVTM,8/6/17,Email
2927-0053-AKCD,10/31/17,Paid Social
2928-3304-EEBE,12/21/17,Email
2929-5337-SBSO,7/10/17,Email
2931-3972-DAEY,9/4/17,Organic Search
2932-6763-UVAE,8/11/17,Push
2934-0485-KEDM,11/23/17,Organic Search
2961-1087-ZFXP,7/8/17,Direct Load
2965-6498-VZGM,12/17/17,Email
2966-8303-TLQD,10/23/17,Organic Search
2981-2912-OUMO,9/22/17,Push
2982-6656-USZB,12/27/17,Paid Social
2991-5157-QKJL,10/11/17,Push
2997-9346-BHHQ,9/24/17,Push
2999-3341-CEUE,11/26/17,Organic Search
3003-1314-OUJI,7/26/17,Email
3009-2743-CYMJ,11/17/17,Direct Load
3011-4765-HUTU,9/25/17,Email
3031-3327-QFRN,12/11/17,Push
3033-3414-QSAP,11/17/17,Push
3036-2769-TDQM,11/9/17,Organic Search
3037-3806-CYRH,7/27/17,Email
3051-0746-RTHI,10/14/17,Direct Load
3055-0890-HOHO,12/17/17,Push
3063-7599-QAYQ,9/24/17,Paid Social
3075-7791-HSJG,9/24/17,Push
3083-9693-SWPW,11/27/17,Push
3086-5299-CMWQ,11/16/17,Email
3109-6648-NMVA,10/8/17,Direct Load
3119-2884-FAUR,12/20/17,Push
3120-1935-KKSR,7/9/17,Paid Social
3123-8590-DSYD,11/25/17,Email
3127-5364-JOMU,12/8/17,Email
3131-1216-UXKZ,11/1/17,Push
3131-1680-GMYJ,10/24/17,Paid Social
3137-8597-WFUO,7/9/17,Organic Search
3144-4233-YHPD,7/17/17,Direct Load
3153-1729-SUMF,10/8/17,Organic Search
3155-4411-VRCW,8/29/17,Organic Search
3161-9279-TNDF,8/8/17,Direct Load
3166-0578-ZGDP,12/28/17,Email
3166-1378-OVKO,11/22/17,Organic Search
3173-8884-USML,11/13/17,Direct Load
3181-3003-ZYSA,11/26/17,Organic Search
3188-2899-DWES,12/12/17,Email
3195-2069-QCLG,7/14/17,Organic Search
3200-3754-NZZH,10/15/17,Email
3211-7603-OTYX,11/11/17,Email
3230-9086-CIIV,11/6/17,Email
3233-0185-UYHJ,12/20/17,Push
3252-7233-DERC,8/7/17,Organic Search
3253-0695-JHCJ,11/25/17,Organic Search
3262-1124-STBU,9/13/17,Push
3265-1476-HQJP,10/2/17,Email
3265-8656-NTZA,9/10/17,Email
3268-7328-LVPV,9/14/17,Organic Search
3271-6883-PDVA,9/14/17,Paid Social
3272-4893-NZIE,11/2/17,Email
3279-3459-KFEH,11/15/17,Paid Social
3280-1302-OJIS,11/18/17,Direct Load
3289-9601-SCFJ,10/21/17,Organic Search
3295-5093-VDXW,8/5/17,Organic Search
3303-3808-ZMSC,11/3/17,Email
3313-5129-WZRY,11/29/17,Organic Search
3317-7292-OPXL,12/4/17,Email
3325-0033-IQPY,10/25/17,Organic Search
3326-4326-GBXS,10/12/17,Organic Search
3327-4727-SLLX,11/8/17,Organic Search
3332-9160-UNMX,11/28/17,Paid Social
3335-3012-EYOU,11/6/17,Organic Search
3344-4913-TVAX,11/3/17,Organic Search
3344-5708-YCCZ,8/24/17,Email
3344-7635-AXLC,11/28/17,Organic Search
3352-7393-MOXZ,11/23/17,Email
3359-6712-OONC,7/14/17,Push
3362-2117-JFML,10/26/17,Email
3363-5444-VCCA,11/26/17,Paid Social
3365-3137-ZGJD,11/26/17,Email
3371-4924-TKAW,9/21/17,Organic Search
3372-1142-HRZM,9/28/17,Organic Search
3372-5851-RTJR,7/22/17,Organic Search
3382-6423-FSGR,10/27/17,Push
3382-8000-XSUF,7/30/17,Direct Load
3388-0027-CTQV,10/21/17,Organic Search
3388-2311-NNYR,11/13/17,Email
3398-9358-EFAP,12/2/17,Organic Search
3401-3174-HTFB,8/18/17,Organic Search
3403-4396-WOJU,9/9/17,Organic Search
3406-2833-NAQZ,9/16/17,Push
3416-8100-DXFQ,12/13/17,Email
3417-3958-YOQP,9/2/17,Organic Search
3420-7080-OEVK,9/11/17,Organic Search
3423-0585-YJTM,10/5/17,Email
3427-6564-XXZO,11/20/17,Push
3433-2175-GTQI,12/1/17,Organic Search
3454-5693-PMSX,11/28/17,Direct Load
3460-7768-WZJX,9/9/17,Organic Search
3474-3548-DTUM,11/14/17,Organic Search
3486-1720-WEBN,9/22/17,Organic Search
3489-1602-CQGG,7/16/17,Email
3493-5611-WBQM,12/9/17,Paid Social
3525-6286-AYAL,8/6/17,Email
3532-1593-JOTE,11/24/17,Paid Social
3539-8103-UGWU,10/18/17,Email
3546-3890-PCXA,11/5/17,Organic Search
3571-9036-RYIZ,9/24/17,Direct Load
3575-4755-IZXD,7/25/17,Email
3578-8198-PWSL,7/25/17,Organic Search
3584-9251-HKNY,11/17/17,Email
3585-9865-AHFV,11/9/17,Email
3597-6925-TDCM,11/25/17,Email
3598-0648-YBIF,12/4/17,Display
3601-5415-YRAL,10/26/17,Direct Load
3602-0705-EQUQ,11/23/17,Organic Search
3605-4064-HONB,12/30/17,Push
3626-3107-XCRU,7/15/17,Direct Load
3629-0478-FDAH,7/15/17,Organic Search
3636-2855-ZGPU,12/17/17,Organic Search
3638-4385-FRSO,10/22/17,Organic Search
3641-0139-LVUS,8/30/17,Push
3646-7318-MRLS,10/14/17,Paid Social
3648-6279-EMTD,10/8/17,Organic Search
3657-0695-OLGQ,8/27/17,Email
3664-1209-ZMZR,8/16/17,Organic Search
3669-7884-VIPE,12/4/17,Organic Search
3674-0914-EGTS,12/24/17,Organic Search
3675-4971-YCLM,12/26/17,Organic Search
3681-4682-ZDFQ,12/19/17,Organic Search
3684-6645-XGLI,11/24/17,Email
3694-0586-PTQU,7/6/17,Email
3700-1635-QJXC,10/27/17,Push
3702-3061-BBHC,12/11/17,Email
3703-2539-ZPAV,12/8/17,Email
3704-9926-OAOU,7/31/17,Direct Load
3707-7204-CXZT,11/27/17,Email
3710-6945-XERE,11/24/17,Organic Search
3712-3013-ARTZ,8/12/17,Organic Search
3714-7796-LFAY,11/6/17,Organic Search
3716-9309-BFMZ,12/7/17,Paid Social
3717-0662-ZKJD,12/30/17,Email
3740-9748-ZPRZ,11/7/17,Direct Load
3744-4437-LBGS,12/11/17,Paid Social
3751-4846-TRKL,9/21/17,Email
3758-3651-RUCL,12/4/17,Direct Load
3765-2871-FHCX,9/12/17,Push
3788-4715-KHGS,7/3/17,Push
3827-5209-UPUI,7/28/17,Organic Search
3846-6487-RDNU,12/10/17,Push
3858-3948-BNGD,8/2/17,Organic Search
3866-1464-CIEO,7/7/17,Organic Search
3866-5107-GJTB,9/17/17,Email
3871-9160-LFTT,10/6/17,Organic Search
3872-4262-YIET,10/30/17,Organic Search
3877-6029-TLPS,11/27/17,Email
3881-4852-EYKK,10/26/17,Paid Social
3885-0233-DLLG,9/24/17,Email
3919-6431-REAE,8/15/17,Direct Load
3920-0723-DNJK,9/19/17,Direct Load
3922-1885-FFDE,10/25/17,Organic Search
3924-7153-NNRI,7/21/17,Push
3924-7922-VMIL,8/15/17,Organic Search
3930-8401-ECPR,7/30/17,Organic Search
3933-0487-WARJ,11/17/17,Direct Load
3940-6749-TFSH,11/29/17,Email
3951-1438-ALXV,7/19/17,Push
3952-6382-FUWV,10/29/17,Email
3979-6887-BTIE,11/22/17,Email
3991-6487-BGQP,8/12/17,Push
3992-5847-UBTS,10/10/17,Email
3992-8913-PRKQ,8/29/17,Organic Search
3998-5439-JBVJ,12/18/17,Organic Search
4003-5108-AXLE,7/13/17,Direct Load
4008-2975-AUWZ,11/10/17,Organic Search
4029-6140-YOMS,7/16/17,Organic Search
4031-2227-XUFN,12/1/17,Direct Load
4037-4344-ICRP,10/12/17,Organic Search
4038-4621-MKQE,12/28/17,Organic Search
4040-6316-APJF,10/3/17,Email
4043-7038-UCSN,7/27/17,Email
4044-2473-NAUT,11/3/17,Push
4048-0540-DUSP,11/25/17,Organic Search
4049-6249-YKQU,11/13/17,Email
4050-0180-MQTL,11/30/17,Direct Load
4052-2286-RZXR,11/12/17,Email
4062-6164-TADU,11/7/17,Paid Social
4064-0593-NIAH,7/8/17,Push
4068-3671-KOVU,9/30/17,Email
4073-0143-ODHN,12/11/17,Organic Search
4073-4541-DUBH,7/13/17,Email
4083-0241-TKZY,11/3/17,Email
4083-7152-JKPR,11/26/17,Organic Search
4084-9098-VODR,11/16/17,Email
4086-8475-XAGK,11/20/17,Organic Search
4101-8745-BAMV,11/23/17,Organic Search
4103-1802-NJHH,8/31/17,Push
4119-3618-GZKU,9/20/17,Organic Search
4121-2646-ZVBV,11/23/17,Organic Search
4123-7985-UHQT,7/19/17,Push
4126-4098-IJNE,8/4/17,Organic Search
4137-7637-MJWI,11/24/17,Organic Search
4138-7631-SHRG,10/12/17,Push
4142-5204-GGIW,12/30/17,Direct Load
4149-1843-GRSN,7/22/17,Email
4151-6227-QOZL,9/4/17,Email
